sticker1 : CAADAgADAgADGr_IFUCzCJLEJNECFgQ
sticker2 : CAADAgADAwADGr_IFQaG6pQIQGOSFgQ
sticker3 : CAADAgADBAADGr_IFWDD6JzSGyLeFgQ
sticker4 : CAADAgADBQADGr_IFRhuJ-7rPr5GFgQ
sticker5 : CAADAgADBgADGr_IFZhaQG6oqAT0FgQ
sticker6 : CAADAgADBwADGr_IFVAI6em4t_9EFgQ
sticker7 : CAADAgADCAADGr_IFcDIAQHmsjP3FgQ
sticker8 : CAADAgADCQADGr_IFcJlS2Dj9vqpFgQ
sticker9 : CAADAgADCgADGr_IFTw7n3nICzW6FgQ
sticker10 : CAADAgADCwADGr_IFf-rGgbEnIEvFgQ
sticker11 : CAADAgADDAADGr_IFY_j7rnZj4W9FgQ
sticker12 : CAADAgADDQADGr_IFcR0GM1k5-BuFgQ
sticker13 : CAADAgADDwADGr_IFZlgNxZK0kp8FgQ
sticker14 : CAADAgADEQADGr_IFSuQnCF-fOQfFgQ
sticker15 : CAADAgADWQADCvzCBc5Tuxl8fnMbFgQ
sticker16 : CAADAgADVgADCvzCBYHV-sqAUO5iFgQ
sticker17 : CAADAgAD3AADmZhGEYDKvndMIVO1FgQ
sticker18 : CAADAgAD_AADmZhGEbIe1PmHlVz2FgQ
sticker19 : CAADAgADGgEAApmYRhH7bw1moaFenRYE
sticker20 : CAADAgADDwADdVCBE8INUWYwyF1_FgQ
sticker21 : CAADAgADDgADdVCBE_7HaxFYyp5dFgQ
sticker22 : CAADAgADDgADdVCBE_7HaxFYyp5dFgQ
sticker23 : CAADAgADDwADdVCBE8INUWYwyF1_FgQ
sticker24 : CAADAgADBQADdVCBE2ZgZ4p9LOPEFgQ
sticker25 : CAADAgADBwADdVCBE_lFAnvqCiK6FgQ
sticker26 : CAADAgADCAADdVCBEz9--bhiHsOGFgQ
sticker27 : CAADAgADCQADdVCBE0an0kuJrh6WFgQ
sticker28 : CAADAgADCgADdVCBE0MZdP_svceqFgQ
